age_Ma,Atlantic,Pacific,Southern
17.9,0.674407217,0.353632729,0.690290751
18,0.647881452,0.356061188,0.640106163
18.1,0.632629946,0.340460445,0.592291279
18.2,0.602384259,0.351308601,0.546272037
18.3,0.594050524,0.356610475,0.513592317
18.4,0.588401504,0.392365275,0.486280698
18.5,0.591410493,0.400142838,0.484359359
18.6,0.593924179,0.422173211,0.508004147
18.7,0.604147466,0.448805379,0.551291109
18.8,0.614385788,0.474986098,0.561170068
18.9,0.617630733,0.504204199,0.575601258
19,0.622415683,0.524376024,0.571548684
19.1,0.6138625,0.535383677,0.586124622
19.2,0.615756545,0.534465681,0.590516398
19.3,0.612823461,0.534180537,0.599283248
19.4,0.6161138,0.53250514,0.595130473
19.5,0.607096711,0.518897674,0.58767954
19.6,0.615020122,0.510906797,0.585457115
19.7,0.621576488,0.499386827,0.574360361
19.8,0.624657962,0.493197677,0.567496306
19.9,0.639624777,0.489002319,0.55978854
20,0.64553944,0.48721337,0.557968589
20.1,0.640784598,0.484022895,0.546020466
20.2,0.644398748,0.484558591,0.540292696
20.3,0.649678656,0.492788266,0.527132193
20.4,0.648798094,0.508421801,0.517815126
20.5,0.658069625,0.521549328,0.507966676
20.6,0.659922659,0.529578552,0.503339304
20.7,0.668138468,0.533512029,0.492962394
20.8,0.672564826,0.540521497,0.484797391
20.9,0.677905897,0.545132007,0.47918197
21,0.684561978,0.544073429,0.476878142
21.1,0.690808238,0.576016083,0.475713158
21.2,0.696904443,0.583081901,0.477367163
21.3,0.702581462,0.593703694,0.487267915
21.4,0.713724212,0.576846095,0.50806414
21.5,0.73557587,0.583618418,0.561172437
21.6,0.761644045,0.590351459,0.575307216
21.7,0.796333891,0.594939895,0.5969414
21.8,0.83645436,0.590652535,0.611763743
21.9,0.871499772,0.581884206,0.624171091
22,0.912154662,0.560771878,0.63246744
22.1,0.931518011,0.553485509,0.640046461
22.2,0.952722981,0.550383179,0.641159455
22.3,0.956561822,0.558706007,0.64501624
22.4,0.958226244,0.566401655,0.641419866
22.5,0.958598353,0.599181546,0.665875635
22.6,0.956265582,0.630682375,0.675086667
22.7,0.947470879,0.781426962,0.694704007
22.8,0.924356684,0.781545242,0.718661017
22.9,0.895416032,0.778807351,0.725763506
23,0.86791002,0.73896788,0.725008513
23.1,0.839913171,0.680110243,0.73515709
23.2,0.802780394,0.623018522,0.727673725
23.3,0.76909047,0.589542532,0.717964729
23.4,0.725559329,0.477998329,0.701946262
23.5,0.680119541,0.412847063,0.687918643
23.6,0.641144795,0.356583444,0.657461384
23.7,0.612060834,0.316434271,0.636077846
23.8,0.582052184,0.286966025,0.613701014
23.9,0.56312426,0.258265103,0.591414442
24,0.54507853,0.247248065,0.568792037
24.1,0.534474926,0.240626884,0.552314617
24.2,0.513917993,0.236977926,0.53542262
24.3,0.497016691,0.224789043,0.525359372
24.4,0.476885187,0.230900964,0.522030697
24.5,0.457485043,0.235788267,0.519638007
24.6,0.422289493,0.273466883,0.527341493
24.7,0.391856441,0.25908,0.541552439
24.8,0.354817804,0.27772925,0.550801681
24.9,0.350773845,0.289568998,0.552006275
25,0.348046801,0.305364849,0.548391437
25.1,0.326058216,0.319514386,0.547974966
25.2,0.318738107,0.320888849,0.547113676
25.3,0.316404387,0.299449195,0.548203358
25.4,0.314295943,0.292719497,0.541888561
25.5,0.319549021,0.287988444,0.527793586
25.6,0.34578607,0.294059914,0.516089869
25.7,0.36109204,0.305616473,0.504237722
25.8,0.364661537,0.294857058,0.497584134
25.9,0.365098517,0.298563278,0.483137966
26,0.368051674,0.301173678,0.492561043
26.1,0.342457682,0.314543967,0.487550588
26.2,0.341964302,0.323500495,0.483408828
26.3,0.331942811,0.348300341,0.469092482
26.4,0.324255597,0.358999031,0.473034672
26.5,0.316522859,0.371661226,0.468278603
26.6,0.311222472,0.380265719,0.452927099
26.7,0.30468152,0.373341762,0.443984762
26.8,0.31010252,0.361140156,0.431553814
26.9,0.310134137,0.3437631,0.434576842
27,0.314908433,0.326054344,0.424454211
27.1,0.319226787,0.300444803,0.409874083
27.2,0.341329927,0.274405198,0.404690254
27.3,0.339890013,0.251571651,0.368577217
27.4,0.341377305,0.232172926,0.342074018
27.5,0.332357064,0.216001773,0.307851442
27.6,0.31220647,0.202396998,0.297493608
27.7,0.28183828,0.188489184,0.289600761
27.8,0.253861056,0.176192059,0.310620132
27.9,0.239020896,0.164901215,0.318544615
28,0.211584184,0.154420952,0.309855833
28.1,0.18081639,0.143798488,0.305021461
28.2,0.16956557,0.133823051,0.298787528
28.3,0.162838229,0.121806716,0.300388696
28.4,0.150810127,0.112299347,0.292153936
28.5,0.153524494,0.100568583,0.29319913
28.6,0.141029641,0.087206667,0.273231538
28.7,0.152894175,0.078485717,0.251247222
28.8,0.152166345,0.06706153,0.236044368
28.9,0.178638564,0.058270676,0.201252771
29,0.19926019,0.051786348,0.161426538
29.1,0.217072573,0.039225491,0.128060833
29.2,0.242835181,0.032135362,0.086217647
29.3,0.266707698,0.027511971,0.042165139
29.4,0.304040014,0.026049592,0.012477808
29.5,0.337213122,0.03170716,-0.001379091
29.6,0.377855598,0.04563993,-0.003813375
29.7,0.393983899,0.057122075,-0.000356163
29.8,0.413757357,0.071959404,0.007364468
29.9,0.422889871,0.09314506,0.036506667
30,0.437292783,0.10979369,0.088064103
30.1,0.434175343,0.133425883,0.13342626
30.2,0.417127526,0.149348937,0.195877319
30.3,0.390335547,0.166406705,0.252393077
30.4,0.36002566,0.182871441,0.297029865
30.5,0.353724925,0.187757219,0.323625157
30.6,0.384674642,0.212337165,0.355509281
30.7,0.419971138,0.228386952,0.355422273
30.8,0.433673463,0.23789576,0.369072941
30.9,0.467611873,0.243685188,0.372302383
31,0.495642615,0.2764526,0.38256181
31.1,0.519838786,0.292458057,0.391257674
31.2,0.518429124,0.313837399,0.404709193
31.3,0.514658513,0.318424135,0.418376964
31.4,0.50813995,0.32588474,0.428008155
31.5,0.505258425,0.32150287,0.443045316
31.6,0.515639023,0.332844933,0.460902697
31.7,0.517693878,0.355047533,0.477267635
31.8,0.524043845,0.366572737,0.490346255
31.9,0.532443113,0.363778811,0.503153755
32,0.552685019,0.40095268,0.511683032
32.1,0.565965423,0.409721834,0.523930237
32.2,0.588884356,0.432690406,0.53481662
32.3,0.620869,0.449025987,0.550249045
32.4,0.658736782,0.463733034,0.569059389
32.5,0.682400392,0.484548047,0.609808826
32.6,0.723706784,0.495955261,0.650213142
32.7,0.726036415,0.519734695,0.702734964
32.8,0.740335363,0.542809774,0.762092596
32.9,0.750001196,0.570874928,0.790577952
33,0.761734512,0.605295546,0.815819831
33.1,0.764706946,0.644543154,0.835795148
33.2,0.7297025,0.683388776,0.844786592
33.3,0.715246212,0.717777939,0.842516201
33.4,0.689677132,0.742874872,0.81879961
33.5,0.667751468,0.769003976,0.786950206
33.6,0.64533798,0.77770067,0.755690288
33.7,0.612422778,0.777167182,0.722606193
33.8,0.597239569,0.766672381,0.689604528
33.9,0.595002876,0.74913049,0.668063134
34,0.612437208,0.714305901,0.659468966
34.1,0.636283559,0.680806336,0.647582461
34.2,0.635279293,0.636216225,0.635045608
34.3,0.631979431,0.602224678,0.629951491
34.4,0.636643908,0.573651205,0.633260338
34.5,0.632969445,0.547538261,0.642197619
34.6,0.647010297,0.526995342,0.648996361
34.7,0.668639362,0.522021,0.661007886
34.8,0.696546746,0.505872679,0.674023357
34.9,0.718999264,0.494315556,0.691579816
35,0.760360218,0.516626774,0.699093793
35.1,0.808374533,0.51153,0.703950119
35.2,0.837431725,0.509854375,0.691683237
35.3,0.857209338,0.505684333,0.675962756
35.4,0.874245626,0.515379677,0.655232028
35.5,0.89343414,0.53215931,0.64416025
35.6,0.913523992,0.544529583,0.633441925
35.7,0.93234327,0.533286957,0.617305955
35.8,0.936250939,0.548620952,0.615951212
35.9,0.942671655,0.55840381,0.614989205
36,0.942109971,0.565777368,0.608613824
36.1,0.931334098,0.562964762,0.600878293
36.2,0.924233764,0.559214211,0.592082281
36.3,0.909190251,0.558912105,0.588546111
36.4,0.889973835,0.556943333,0.584680686
36.5,0.876922953,0.541362143,0.598689247
36.6,0.871222496,0.519683333,0.59222033
36.7,0.858663695,0.502353125,0.600813182
36.8,0.840832941,0.488864118,0.595953929
36.9,0.832249381,0.47351125,0.602679615
37,0.819815535,0.452827059,0.59257507
37.1,0.811624482,0.4251945,0.593487813
37.2,0.801151831,0.400452222,0.581290161
37.3,0.785710092,0.374841111,0.587941452
37.4,0.768363627,0.345943158,0.583624194
37.5,0.7408935,0.3212705,0.587124918
37.6,0.717192489,0.291983478,0.586350462
37.7,0.703531983,0.2741075,0.571965385
37.8,0.676579537,0.2616175,0.565119857
37.9,0.675259349,0.253708276,0.555836351
38,0.673507792,0.248227931,0.545127927
38.1,0.670521083,0.253161071,0.530982039
38.2,0.67985025,0.252546774,0.531736585
38.3,0.698687375,0.239448125,0.557965195
38.4,0.764606286,0.245255882,0.590380615
38.5,0.770466889,0.256276176,0.628982267
38.6,0.786158833,0.265709118,0.662182902
38.7,0.870742437,0.277767647,0.696362832
38.8,0.813986588,0.287045714,0.727953135
38.9,0.8024615,0.312470811,0.755687951
39,0.78533512,0.306003429,0.799895994
39.1,0.777472,0.314771875,0.820054575
39.2,0.753652586,0.319686563,0.834539151
39.3,0.732592645,0.319175625,0.842904115
39.4,0.712983727,0.336109688,0.848905838
39.5,0.672974286,0.33435129,0.855546079
39.6,0.669238378,0.309097,0.851658861
39.7,0.660628684,0.327744828,0.840650025
39.8,0.64864475,0.335574667,0.836750198
39.9,0.633677619,0.32457275,0.832790177
40,0.615539778,0.329431364,0.820267506
40.1,0.591135957,0.342532553,0.801645534
40.2,0.563226327,0.3551912,0.780930954
40.3,0.529899216,0.365946792,0.749207429
40.4,0.514346481,0.390680968,0.714541486
40.5,0.499550185,0.39100873,0.675711619
40.6,0.497371667,0.385708095,0.626948527
40.7,0.500401346,0.375574032,0.58640343
40.8,0.51393037,0.3602615,0.55925619
40.9,0.52193902,0.345363559,0.54303954
41,0.535301961,0.330489831,0.544977871
41.1,0.5459092,0.315934576,0.542204307
