age_Ma,loess_d13C,loess_d18O,loess_long_d13C,loess_long_d18O
0.352,-0.986,4.815,-0.49042991,4.4528079
0.354,-1.066,4.835,-0.49005759,4.4525661
0.356,-1.130,4.849,-0.48969933,4.4523277
0.358,-1.180,4.861,-0.48935571,4.4520926
0.360,-1.230,4.889,-0.48902726,4.45186
0.362,-1.218,4.910,-0.48871446,4.4516306
0.364,-1.013,4.896,-0.48841786,4.4514031
0.366,-0.777,4.863,-0.48813799,4.4511776
0.368,-0.588,4.811,-0.4878754,4.4509544
0.370,-0.452,4.756,-0.48763058,4.4507327
0.372,-0.494,4.721,-0.48740411,4.4505129
0.374,-0.573,4.686,-0.48719648,4.4502935
0.376,-0.590,4.642,-0.48700824,4.4500756
0.378,-0.592,4.600,-0.48683989,4.4498582
0.380,-0.559,4.573,-0.48669201,4.4496412
0.382,-0.504,4.550,-0.48656508,4.4494243
0.384,-0.435,4.531,-0.48645967,4.4492073
0.386,-0.350,4.502,-0.48637629,4.4489903
0.388,-0.195,4.435,-0.48631546,4.4487724
0.390,-0.060,4.361,-0.48627773,4.448554
0.392,-0.062,4.301,-0.4862636,4.4483347
0.394,-0.133,4.247,-0.48627365,4.4481139
0.396,-0.323,4.207,-0.48630837,4.4478912
0.398,-0.463,4.139,-0.4863683,4.4476671
0.400,-0.315,3.990,-0.48641893,4.4474645
0.402,-0.107,3.840,-0.4864265,4.4473052
0.404,0.171,3.707,-0.48639271,4.4471879
0.406,0.202,3.605,-0.48631927,4.4471116
0.408,0.124,3.558,-0.48620787,4.4470749
0.410,-0.046,3.583,-0.48606017,4.4470768
0.412,-0.262,3.681,-0.48587787,4.4471164
0.414,-0.505,3.932,-0.4856627,4.4471912
0.416,-0.734,4.214,-0.48541632,4.4473014
0.418,-0.874,4.420,-0.48514041,4.4474444
0.420,-0.976,4.619,-0.4848367,4.4476199
0.422,-1.041,4.831,-0.48450685,4.4478264
0.424,-1.054,4.991,-0.48415256,4.4480624
0.426,-0.975,5.040,-0.4837755,4.4483271
0.428,-0.892,5.040,-0.4833774,4.4486189
0.430,-0.898,4.976,-0.48295996,4.4489365
0.432,-0.929,4.907,-0.48252481,4.4492788
0.434,-1.008,4.945,-0.48207369,4.449645
0.436,-1.053,4.984,-0.4816083,4.4500327
0.438,-0.931,4.952,-0.4811303,4.4504418
0.440,-0.765,4.895,-0.48064139,4.4508705
0.442,-0.606,4.806,-0.48014328,4.4513173
0.444,-0.469,4.721,-0.47963762,4.4517817
0.446,-0.403,4.669,-0.47912616,4.4522619
0.448,-0.384,4.648,-0.47861052,4.4527564
0.450,-0.447,4.719,-0.47809246,4.4532647
0.452,-0.532,4.802,-0.47757363,4.4537849
0.454,-0.584,4.838,-0.47705576,4.4543166
0.456,-0.627,4.834,-0.47654048,4.4548573
0.458,-0.650,4.722,-0.47602955,4.4554067
0.460,-0.664,4.611,-0.4755246,4.4559631
0.462,-0.706,4.604,-0.47502738,4.4565253
0.464,-0.718,4.616,-0.47453955,4.4570923
0.466,-0.631,4.641,-0.4740628,4.4576626
0.468,-0.485,4.648,-0.47359881,4.4582353
0.470,-0.236,4.553,-0.4731493,4.4588084
0.472,-0.026,4.466,-0.47271594,4.4593816
0.474,0.144,4.379,-0.47230044,4.4599528
0.476,0.177,4.307,-0.47190449,4.4605217
0.478,0.159,4.241,-0.47152978,4.4610858
0.480,0.134,4.202,-0.47117797,4.4616451
0.482,0.110,4.165,-0.4708508,4.4621973
0.484,0.137,4.096,-0.47054991,4.4627419
0.486,0.148,4.028,-0.47027704,4.4632769
0.488,0.086,3.951,-0.47003388,4.4638019
0.490,0.017,3.899,-0.46982208,4.4643154
0.492,-0.043,3.941,-0.46964335,4.4648156
0.494,-0.100,4.033,-0.46949941,4.465302
0.496,-0.109,4.172,-0.46939191,4.4657726
0.498,-0.098,4.298,-0.46932256,4.4662271
0.500,-0.114,4.347,-0.46929309,4.4666634
0.502,-0.119,4.368,-0.4693051,4.4670801
0.504,-0.073,4.354,-0.46936035,4.4674768
0.506,-0.008,4.330,-0.46946055,4.4678521
0.508,0.081,4.331,-0.46960732,4.468204
0.510,0.161,4.325,-0.46980241,4.4685321
0.512,0.187,4.297,-0.47004747,4.4688344
0.514,0.189,4.269,-0.47034425,4.46911
0.516,0.173,4.248,-0.47069436,4.469358
0.518,0.123,4.237,-0.47109956,4.4695768
0.520,0.037,4.243,-0.47156152,4.4697647
0.522,-0.078,4.269,-0.47208193,4.4699216
0.524,-0.278,4.319,-0.47266248,4.4700451
0.526,-0.478,4.394,-0.47330484,4.4701343
0.528,-0.604,4.515,-0.47401074,4.4701886
0.530,-0.681,4.647,-0.47478187,4.4702058
0.532,-0.654,4.773,-0.47565359,4.4702182
0.534,-0.595,4.874,-0.47665754,4.4702587
0.536,-0.533,4.909,-0.47778985,4.4703259
0.538,-0.558,4.897,-0.47904661,4.4704185
0.540,-0.591,4.853,-0.4804239,4.4705358
0.542,-0.610,4.791,-0.48191783,4.4706764
0.544,-0.612,4.716,-0.48352453,4.4708395
0.546,-0.531,4.647,-0.48524004,4.471024
0.548,-0.449,4.576,-0.48706049,4.4712286
0.550,-0.444,4.511,-0.48898196,4.4714522
0.552,-0.453,4.448,-0.49100059,4.4716945
0.554,-0.465,4.366,-0.49311244,4.4719534
0.556,-0.464,4.282,-0.49531361,4.4722281
0.558,-0.403,4.217,-0.49760023,4.472518
0.560,-0.328,4.182,-0.49996835,4.4728212
0.562,-0.261,4.237,-0.50241411,4.4731379
0.564,-0.191,4.281,-0.5049336,4.4734659
0.566,-0.135,4.223,-0.50752288,4.4738045
0.568,-0.093,4.128,-0.51017809,4.4741526
0.570,-0.035,3.960,-0.51289535,4.4745092
0.572,-0.009,3.844,-0.51567072,4.4748735
0.574,-0.015,3.754,-0.51850027,4.4752436
0.576,-0.057,3.689,-0.52138013,4.4756193
0.578,-0.138,3.688,-0.52430642,4.4759994
0.580,-0.323,3.837,-0.5272752,4.4763823
0.582,-0.524,4.040,-0.53028262,4.4767671
0.584,-0.699,4.283,-0.53332472,4.4771528
0.586,-0.803,4.514,-0.53639764,4.4775391
0.588,-0.694,4.637,-0.53949744,4.4779234
0.590,-0.518,4.688,-0.54262024,4.4783058
0.592,-0.344,4.646,-0.54576218,4.4786854
0.594,-0.195,4.565,-0.54891926,4.4790602
0.596,-0.167,4.451,-0.55208766,4.4794292
0.598,-0.190,4.338,-0.55526346,4.4797921
0.600,-0.243,4.315,-0.55844277,4.4801474
0.602,-0.302,4.312,-0.56162167,4.480494
0.604,-0.355,4.288,-0.56479621,4.4808307
0.606,-0.357,4.236,-0.56796259,4.4811568
0.608,-0.337,4.176,-0.57111681,4.4814711
0.610,-0.304,4.110,-0.57425505,4.4817719
0.612,-0.273,4.038,-0.57737333,4.482059
0.614,-0.234,3.933,-0.58046782,4.4823313
0.616,-0.213,3.863,-0.58353454,4.4825873
0.618,-0.247,3.902,-0.58656973,4.4828262
0.620,-0.313,4.011,-0.58956933,4.4830465
0.622,-0.410,4.216,-0.59252948,4.4832478
0.624,-0.553,4.477,-0.59544635,4.483428
0.626,-0.796,4.781,-0.59831595,4.4835873
0.628,-1.018,5.065,-0.60113448,4.4837236
0.630,-1.126,5.277,-0.60389793,4.4838367
0.632,-1.171,5.425,-0.60660243,4.4839249
0.634,-1.058,5.415,-0.60924411,4.4839873
0.636,-0.924,5.346,-0.61181909,4.4840231
0.638,-0.930,5.293,-0.61432338,4.4840307
0.640,-0.975,5.236,-0.6167531,4.4840093
0.642,-1.053,5.188,-0.61910444,4.4839578
0.644,-1.113,5.142,-0.62137341,4.4838753
