Sample ID,Depth (m),Age (Ma),O. umbonatus Mg/Ca,O. umbonatus Mg/Ca_adj,O. umbonatus B/Ca,C. mundulus d18O,C. mundulus d13C,interpolated d18O,interpolated d18O-BWT,C. wuellerstorfi Mg/Ca [mmol/mol],C. mundulus Mg/Ca [mmol/mol],BWT (O. umbonatus Mg-temp),BWT (C. wuellerstorfi Mg-temp),BWT (C. mundulus Mg-temp)
"130-806B-5H-7,66-70",44.66,1.9276,1.509,1.509,,,,,,,,3.5393,,
"130-806B-6H-5,72-76",51.22,2.2108,,,,,,,,1.1746,,,2.7857,
"130-806B-6H-5,72-76",51.22,2.2108,1.4883,1.4883,,,,,,,,3.4182,,
"130-806B-7H-3,66-70",57.66,2.4887,1.45,1.45,,,,,,,,3.1897,,
"130-806B-7H-3,66-70",57.66,2.4887,,,,,,,,1.3252,,,3.8925,
"130-806B-8H-1,77-81",64.27,2.774,,,,,,,,1.311,,,3.7938,
"130-806B-8H-1,77-81",64.27,2.774,1.5794,1.5794,,,,,,,,3.9395,,
"130-806B-8H-7,46-50",72.96,3.1491,1.7104,1.7104,,,,,,,,4.6385,,
"130-806B-8H-7,46-50",72.96,3.1491,,,,,,,,1.5194,,,5.1469,
"130-806B-9H-5,68-72",79.68,3.4391,1.527,1.527,,,,,,,,3.6433,,
"130-806B-9H-5,68-72",79.68,3.4391,,,,,,,,1.3262,,,3.8992,
"130-806B-10H-3,70-74",86.2,3.7206,1.73,1.73,,,,,,,,4.7383,,
"130-806B-10H-3,70-74",86.2,3.7206,,,,,,,,1.3919,,,4.3431,
"130-806B-11H-1,66-70",92.66,3.9994,,,,,,,,1.4979,,,5.0165,
"130-806B-11H-1,66-70",92.66,3.9994,1.6881,1.6881,,,,,,,,4.523,,
"130-806B-11H-7,66-70",101.66,3.795,,,,,,,,1.4466,,,4.6968,
"130-806B-11H-7,66-70",101.66,3.795,1.5685,1.5685,,,,,,,,3.8783,,
"130-806B-12H-5,66-70",108.16,3.9601,,,,,,,,1.3902,,,4.332,
"130-806B-12H-5,66-70",108.16,3.9601,1.7281,1.7281,,,,,,,,4.7285,,
"130-806B-13H-7,56-60",120.56,4.2751,1.8185,1.8185,,,,,,,,5.1758,,
"130-806B-13H-7,56-60",120.56,4.2751,,,,,,,,1.4857,,,4.9411,
"130-806B-14H-1,78-82",121.28,4.2934,,,,,,,,,,,,
"130-806B-14H-2,66-70",122.66,4.3284,,,,,,,,,,,,
"130-806B-14H-3,78-82",124.28,4.3696,1.7392,1.7392,,,,,,,,4.7848,,
"130-806B-14H-3,78-82",124.28,4.3696,,,,,,,,,1.6564,,,5.5861
"130-806B-14H-4,66-70",125.66,4.4046,,,,,,,,,,,,
"130-806B-14H-5,78-82",127.28,4.4458,,,,,,,,,,,,
"130-806B-14H-6,78-82",128.78,4.4839,,,,,,,,,,,,
"130-806B-14H-7,36-40",129.86,4.5113,,,,,,,,,,,,
"130-806B-15H-1,66-70",130.66,4.5317,,,,,,,,,,,,
"130-806B-15H-2,84-88",132.34,4.5743,,,,,,,,,,,,
"130-806B-15H-3,66-70",133.66,4.6079,1.8933,1.8933,,,,,,,,5.5296,,
"130-806B-15H-3,66-70",133.66,4.6079,,,,,,,,,,,,
"130-806B-15H-3,66-70",133.66,4.6079,,,,,,,,1.5516,,,5.3397,
"130-806B-15H-3,66-70",133.66,4.6079,,,,,,,,,1.6221,,,5.394
"130-806B-15H-4,66-70",135.16,4.646,,,,,,,,,,,,
"130-806B-15H-5,66-70",136.66,4.6841,,,,,,,,,,,,
"130-806B-15H-6,66-70",138.16,4.7222,,,,,,,,,,,,
"130-806B-15H-7,45-49",139.45,4.7549,,,,,,,,,,,,
"130-806B-16H-1,66-70",140.16,4.773,,,,,,,,,,,,
