,region,core,lat,long,water_depth_m,temp_c,pH_total,DCO3_c,DCO3_a,B_umolkg,borate_bicarbonate_molmol,species,B_Ca_umolmol,reference,salinity,pH foram,pressure_bar,KspC,KspA,CO3sat_c,CO3sat_a,omega_c,omega_a,CO3_mmolkg,log(omega_c),omega_c_linpred,omega_c_logpred,lin_r_sq,log_r_sq,DCO3_c_linpred,lin_DCO3_r_sq
10,Atlantic,NEAP 17B,56.1,27.2,2734,2.7427,7.998993041051348,39.34665352380368,0.6640017885652725,415.59350857142863,0.03241039874862454,Cibicidoides wuellerstorfi,221.89299283207703,Yu and Elderfield (2007),35.0,,274.44129693959997,7.44597603693218e-07,1.1432198599579852e-06,74.4597603693218,114.32198599579853,1.52842841997669,1.005808172266966,,0.42424003101122043,1.503865520608815,1.4889569096122546,0.701648866704037,0.7485018946413058,35.75868826097518,0.7722872286249991
11,Atlantic,NEAP 19B,52.45,30.2,3283,2.81926,7.968498254266387,28.543554827823897,-13.584210036610799,415.4556342857143,0.03228289520302634,Cibicidoides wuellerstorfi,208.0,Yu and Elderfield (2007),35.0,,329.5503942402,8.274848168679267e-07,1.2618824169312546e-06,82.74848168679267,126.18824169312545,1.3449435475548994,0.8923496369047922,,0.2963520400948084,1.3663517198150221,1.3336238428111589,0.701648866704037,0.7485018946413058,25.805777403680125,0.7722872286249991
12,Atlantic,NEAP 20B,42.29,28.24,2878,3.03045,7.983455751527299,36.60301330852397,-2.858450556636896,415.32608000000005,0.0319036911005339,Cibicidoides wuellerstorfi,230.0039983948287,Yu and Elderfield (2007),35.0,,288.8961421332,7.641278796906033e-07,1.1708451999773848e-06,76.41278796906032,117.08451999773848,1.4790168541336903,0.9755864348532829,,0.3913775792916508,1.5841488128176997,1.5878782424057827,0.701648866704037,0.7485018946413058,41.569395594149725,0.7722872286249991
13,Atlantic,T86 5B,46.9,25.4,3121,2.99545,7.98007114107855,33.72390590879938,-7.279573359184212,415.3058742857143,0.03253070602669948,Cibicidoides wuellerstorfi,208.6133222602958,Yu and Elderfield (2007),35.0,,313.2886933974,8.00986913993649e-07,1.2237151996431792e-06,80.0986913993649,122.37151996431791,1.421029424072049,0.9405125198959133,,0.3513815554959748,1.3724224258280553,1.340126178793605,0.701648866704037,0.7485018946413058,26.245160181552492,0.7722872286249991
14,Atlantic,T86 9B,40.8,27.5,2026,3.44968,8.032362316063388,54.52978870178616,20.18552388777023,415.2939885714286,0.03285402487257888,Cibicidoides wuellerstorfi,226.08565145395437,Yu and Elderfield (2007),35.0,,203.3716414044,6.456193927420823e-07,9.992347126513792e-07,64.56193927420824,99.92347126513792,1.8446120007360154,1.2020098344483026,,0.612268957672771,1.5453647446776597,1.5392956474075978,0.701648866704037,0.7485018946413058,38.76230008335138,0.7722872286249991
15,Atlantic,T86 15B,30.483,36.95,3271,2.77094,7.947791749627923,25.46315070929765,-16.607307930648858,415.22624,0.030277004506317297,Cibicidoides wuellerstorfi,205.61774505051812,Yu and Elderfield (2007),35.0,,328.3458238074,8.259114947215115e-07,1.2597194804181553e-06,82.59114947215114,125.97194804181552,1.308303624202295,0.8681666181336167,,0.26873135469236,1.3427719960994304,1.3086654611453117,0.701648866704037,0.7485018946413058,24.099134966148668,0.7722872286249991
16,Atlantic,T88 7B,50.5,26.5,3013,2.90445,7.978448937283907,33.92412093714205,-6.431686526586148,415.376,0.031914880897332576,Cibicidoides wuellerstorfi,212.66275871724707,Yu and Elderfield (2007),35.0,,302.44755950219997,7.850521114164841e-07,1.201052260971779e-06,78.50521114164842,120.10522609717789,1.432125720621681,0.9464495698015486,,0.3591598584150341,1.412504027035149,1.3838605604677494,0.701648866704037,0.7485018946413058,29.14616794607541,0.7722872286249991
17,Atlantic,T88 9B,48.4,25.1,3074,2.86077,7.990937789446982,36.18958312282511,-4.571050643052047,415.3605485714286,0.03295626233231837,Cibicidoides wuellerstorfi,204.19600063656145,Yu and Elderfield (2007),35.0,,308.5707925356,7.946116221566142e-07,1.2148151803080996e-06,79.46116221566142,121.48151803080995,1.4554373748599956,0.9623724602956251,,0.3753064567302912,1.3286994718792262,1.293993272917228,0.701648866704037,0.7485018946413058,23.080600256960864,0.7722872286249991
18,Atlantic,T88 11B,45.4,25.4,2741,3.04979,8.003370546932274,41.938054990564254,3.3247468957468413,415.3831314285714,0.03293914716325148,Cibicidoides wuellerstorfi,208.56685027388704,Yu and Elderfield (2007),35.0,,275.1439630254,7.440250379859917e-07,1.1419360122968446e-06,74.40250379859917,114.19360122968446,1.5636645656991164,1.029115001715898,,0.4470321470613097,1.37196244290294,1.3396323827199301,0.701648866704037,0.7485018946413058,26.21186774818854,0.7722872286249991
19,Atlantic,T88 12B,44.1,24.9,3052,2.88629,7.980601935438129,34.297266018632854,-6.31279705929019,415.32608000000005,0.03210259574685752,Cibicidoides wuellerstorfi,208.3673747216128,Yu and Elderfield (2007),35.0,,306.3624134088,7.910911985000226e-07,1.2097325118089261e-06,79.10911985000226,120.9732511808926,1.4335437694625277,0.9478165875706639,,0.36014953915909603,1.369988020135274,1.3375148868026048,0.701648866704037,0.7485018946413058,26.06896388190198,0.7722872286249991
