Core,Location,Lat,Lon,Paleodepth,Age,d13C,d18O
1262,SAtl,-27.186,1.577,4770,53.2704308656566,-0.1342,-0.916033491354982
1262,SAtl,-27.186,1.577,4770,53.2768663196619,-0.1402,-0.822133467225762
1262,SAtl,-27.186,1.577,4770,53.2800913723609,-0.2075,-0.904767298839131
1262,SAtl,-27.186,1.577,4770,53.2833164250599,-0.0525000000000001,-0.833582883315568
1262,SAtl,-27.186,1.577,4770,53.2865414777589,-0.2455,-1.03724940550798
1262,SAtl,-27.186,1.577,4770,53.2897665304578,-0.2715,-0.98089507655183
1262,SAtl,-27.186,1.577,4770,53.2929915831568,-0.2725,-0.851378987196459
1262,SAtl,-27.186,1.577,4770,53.2962166358558,0.0244999999999999,-0.773273864608105
1262,SAtl,-27.186,1.577,4770,53.2994416885548,0.0644999999999999,-0.818752796748159
1262,SAtl,-27.186,1.577,4770,53.3026667412538,-0.0455000000000001,-0.759432450478523
1262,SAtl,-27.186,1.577,4770,53.3058917939527,-0.1575,-0.872141108390831
1262,SAtl,-27.186,1.577,4770,53.3091168466517,0.0844999999999999,-0.563675307788725
1262,SAtl,-27.186,1.577,4770,53.3123418993507,0.1895,-0.775251209483759
1262,SAtl,-27.186,1.577,4770,53.3155669520497,0.1385,-0.808866072369886
1262,SAtl,-27.186,1.577,4770,53.3187920047486,0.0924999999999999,-0.823696158937295
1262,SAtl,-27.186,1.577,4770,53.3220170574476,0.0224999999999999,-0.872141108390831
1262,SAtl,-27.186,1.577,4770,53.3252421101466,0.0354999999999999,-0.938382161725258
1262,SAtl,-27.186,1.577,4770,53.3284671628456,0.2465,-0.740647674159805
1262,SAtl,-27.186,1.577,4770,53.3316922155446,0.1445,-0.746579708786769
1262,SAtl,-27.186,1.577,4770,53.3349172682435,0.3225,-0.661553879133624
1262,SAtl,-27.186,1.577,4770,53.3381423209425,0.4455,-0.600256187988334
1262,SAtl,-27.186,1.577,4770,53.3413673736415,0.3635,-0.541924514156525
1262,SAtl,-27.186,1.577,4770,53.3445924263405,0.3775,-0.596301498237025
1262,SAtl,-27.186,1.577,4770,53.3478174790394,0.3115,-0.663531224009279
1262,SAtl,-27.186,1.577,4770,53.3510425317384,0.2375,-0.700112104208887
1262,SAtl,-27.186,1.577,4770,53.3542675844374,0.3042,-0.6528
1262,SAtl,-27.186,1.577,4770,53.3574926371364,0.2212,-0.6608
1262,SAtl,-27.186,1.577,4770,53.3607176898354,0.2382,-0.6858
1262,SAtl,-27.186,1.577,4770,53.3639427425343,0.1372,-0.7388
1262,SAtl,-27.186,1.577,4770,53.3671677952333,0.1302,-0.6828
1262,SAtl,-27.186,1.577,4770,53.3703928479323,0.1198,-0.709453438270698
1262,SAtl,-27.186,1.577,4770,53.3736179006313,0.2278,-0.616541835448101
1262,SAtl,-27.186,1.577,4770,53.3768429533302,0.1358,-0.764805031441607
1262,SAtl,-27.186,1.577,4770,53.3800680060292,0.2648,-0.598750251928881
1262,SAtl,-27.186,1.577,4770,53.3832930587282,0.4138,-0.57502814056992
1262,SAtl,-27.186,1.577,4770,53.3865181114272,0.3378,-0.550317607904336
1262,SAtl,-27.186,1.577,4770,53.3897431641261,0.2158,-0.736140813549529
1262,SAtl,-27.186,1.577,4770,53.3929682168251,0.0888,-0.815214518079399
1262,SAtl,-27.186,1.577,4770,53.3961932695241,0.0888,-0.866612426023814
1262,SAtl,-27.186,1.577,4770,53.3994183222231,0.2868,-0.578981825796413
1262,SAtl,-27.186,1.577,4770,53.4026433749221,0.3258,-0.68375448429849
1262,SAtl,-27.186,1.577,4770,53.405868427621,0.3058,-0.531537603078492
1262,SAtl,-27.186,1.577,4770,53.40909348032,0.3198,-0.546363922677842
1262,SAtl,-27.186,1.577,4770,53.412318533019,0.2488,-0.562178663583816
1262,SAtl,-27.186,1.577,4770,53.4187686384169,0.3845,-0.499411599329953
1262,SAtl,-27.186,1.577,4770,53.4252187438149,0.3965,-0.509298323708225
1262,SAtl,-27.186,1.577,4770,53.4284437965139,0.2385,-0.547856548783489
1262,SAtl,-27.186,1.577,4770,53.4316688492129,0.3305,-0.496445582016471
1262,SAtl,-27.186,1.577,4770,53.4381189546108,0.1635,-0.46085337425469
1262,SAtl,-27.186,1.577,4770,53.4413440073098,0.3165,-0.607176895053124
1262,SAtl,-27.186,1.577,4770,53.4445690600088,0.3225,-0.571584687291343
1262,SAtl,-27.186,1.577,4770,53.4477941127077,0.2385,-0.653644499631006
1262,SAtl,-27.186,1.577,4770,53.4510191654067,0.3155,-0.479638150573408
1262,SAtl,-27.186,1.577,4770,53.4542442181057,0.3595,-0.562686635350898
1262,SAtl,-27.186,1.577,4770,53.4574692708047,0.3115,-0.484581512762544
1262,SAtl,-27.186,1.577,4770,53.4606943235037,0.2895,-0.62695034380967
1262,SAtl,-27.186,1.577,4770,53.4639193762026,0.2455,-0.635848395750115
1262,SAtl,-27.186,1.577,4770,53.4671444289016,0.1405,-0.658587861820142
1262,SAtl,-27.186,1.577,4770,53.4703694816006,0.2065,-0.653644499631006
1262,SAtl,-27.186,1.577,4770,53.4735945342996,0.249333333333333,-0.535037872932445
1262,SAtl,-27.186,1.577,4770,53.4768195869985,0.267333333333333,-0.481446900602873
1262,SAtl,-27.186,1.577,4770,53.4800446396975,0.264333333333333,-0.535037872932445
1262,SAtl,-27.186,1.577,4770,53.4832696923965,0.232333333333333,-0.563818209924252
1262,SAtl,-27.186,1.577,4770,53.4864947450955,0.298333333333333,-0.473507497294788
1262,SAtl,-27.186,1.577,4770,53.4897197977945,0.325333333333333,-0.483431751429894
1262,SAtl,-27.186,1.577,4770,53.4929448504934,0.330333333333333,-0.47648477353532
1262,SAtl,-27.186,1.577,4770,53.4961699031924,0.318333333333333,-0.482439326016383
1262,SAtl,-27.186,1.577,4770,53.4993949558914,0.316333333333333,-0.47747719894883
1262,SAtl,-27.186,1.577,4770,53.5026200085904,0.324333333333333,-0.473507497294788
1262,SAtl,-27.186,1.577,4770,53.5058450612893,0.3108,-0.508803913026154
1262,SAtl,-27.186,1.577,4770,53.5090701139883,0.1938,-0.588866038862647
1262,SAtl,-27.186,1.577,4770,53.5122951666873,0.1938,-0.601715515848751
1262,SAtl,-27.186,1.577,4770,53.5155202193863,0.2118,-0.678812377765374
1262,SAtl,-27.186,1.577,4770,53.5187452720853,0.0618,-0.698580803897841
1262,SAtl,-27.186,1.577,4770,53.5219703247842,0.1488,-0.565143927503686
1262,SAtl,-27.186,1.577,4770,53.5251953774832,0.2008,-0.531537603078492
1262,SAtl,-27.186,1.577,4770,53.5284204301822,0.2108,-0.548340765291089
1262,SAtl,-27.186,1.577,4770,53.5316454828812,0.0688000000000001,-0.655090266406413
1262,SAtl,-27.186,1.577,4770,53.5348705355801,0.2158,-0.518688126092388
1262,SAtl,-27.186,1.577,4770,53.5495982762388,-0.056666666666667,-0.69581078992116
1262,SAtl,-27.186,1.577,4770,53.5535758412342,-0.125666666666667,-0.751386613077753
1262,SAtl,-27.186,1.577,4770,53.5576609079863,-0.291666666666667,-0.952848972020403
1262,SAtl,-27.186,1.577,4770,53.5616384729817,-0.427666666666667,-0.966742927809551
1262,SAtl,-27.186,1.577,4770,53.5649710274373,-0.442666666666667,-1.08087185036327
1262,SAtl,-27.186,1.577,4770,53.5681960801362,-0.351666666666667,-0.975674756531146
1262,SAtl,-27.186,1.577,4770,53.5714211328352,-0.147666666666667,-0.822841242850516
1262,SAtl,-27.186,1.577,4770,53.5746461855342,0.025333333333333,-0.677947132477969
1262,SAtl,-27.186,1.577,4770,53.5778712382332,-0.157666666666667,-0.837727624053174
1262,SAtl,-27.186,1.577,4770,53.5810962909322,-0.129666666666667,-0.804977585407325
1262,SAtl,-27.186,1.577,4770,53.5843213436311,-0.213666666666667,-0.84765187818828
1262,SAtl,-27.186,1.577,4770,53.5875463963301,-0.201666666666667,-0.885364043901682
1262,SAtl,-27.186,1.577,4770,53.5907714490291,0.053333333333333,-0.693825939094139
1262,SAtl,-27.186,1.577,4770,53.5939965017281,-0.090666666666667,-0.789098778791155
1262,SAtl,-27.186,1.577,4770,53.597221554427,0.056333333333333,-0.6620683258618
1262,SAtl,-27.186,1.577,4770,53.600446607126,0.186333333333333,-0.484424176843405
1262,SAtl,-27.186,1.577,4770,53.603671659825,0.255333333333333,-0.487401453083936
1262,SAtl,-27.186,1.577,4770,53.606896712524,0.250333333333333,-0.497325707219042
1262,SAtl,-27.186,1.577,4770,53.610121765223,0.355333333333333,-0.441749884062449
1262,SAtl,-27.186,1.577,4770,53.6133468179219,0.347333333333333,-0.379227083011282
1262,SAtl,-27.186,1.577,4770,53.6165718706209,0.299333333333333,-0.363348276395113
1262,SAtl,-27.186,1.577,4770,53.6197969233199,0.294333333333333,-0.356401298500539
1262,SAtl,-27.186,1.577,4770,53.6230219760189,0.157416666666666,-0.578078227674895
1262,SAtl,-27.186,1.577,4770,53.6262470287178,0.1195,-0.639973976132852
1262,SAtl,-27.186,1.577,4770,53.6294720814168,0.1575,-0.456143346630419
1262,SAtl,-27.186,1.577,4770,53.6326971341158,0.1845,-0.525276548534728
1262,SAtl,-27.186,1.577,4770,53.6359221868148,0.1605,-0.548789649922226
1262,SAtl,-27.186,1.577,4770,53.6391472395138,0.1955,-0.49996526815622
1262,SAtl,-27.186,1.577,4770,53.6423722922127,0.0405,-0.515837463371316
1262,SAtl,-27.186,1.577,4770,53.6455973449117,0.1155,-0.606578535618256
1262,SAtl,-27.186,1.577,4770,53.6488223976107,-0.0815,-0.698706891575792
1262,SAtl,-27.186,1.577,4770,53.6520474503097,-0.1905,-0.722444024308362
1262,SAtl,-27.186,1.577,4770,53.6552725030086,-0.3425,-0.921059633340717
1262,SAtl,-27.186,1.577,4770,53.6584975557076,-0.0535,-0.69337143002079
1262,SAtl,-27.186,1.577,4770,53.6617226084066,-0.6025,-0.970694279528714
1262,SAtl,-27.186,1.577,4770,53.6649476611056,-0.7365,-1.16710550413365
1262,SAtl,-27.186,1.577,4770,53.6681727138045,-0.7525,-1.24475519721566
1262,SAtl,-27.186,1.577,4770,53.6713775399433,-0.7115,-1.1479490758812
1262,SAtl,-27.186,1.577,4770,53.6744812258735,-0.4725,-1.01582678887035
1262,SAtl,-27.186,1.577,4770,53.6775849118037,-0.5065,-1.09295485768022
