,foram_database_idx,core,sample_id,sample_mix_id,s_id_species,agilent_id,run_name,run_order,time,sample_name,rank,sum_sq_resid
580,1778,522,522_35_1_91-94,522_35_1_91-94,522_35_1_91-94_Cibicidoides havanensis,STG202307171531,Carbonates_TE_19smps_JB_RG_20230717.b,20,17/07/2023 15:31,7,5,13599.96526
590,1779,522,522_35_2_28-32,522_35_2_28-32,522_35_2_28-32_Cibicidoides havanensis,STG202307171509,Carbonates_TE_19smps_JB_RG_20230717.b,16,17/07/2023 15:09,6,6,0.48083854
600,1780,522,522_34_3_15.5-20,522_34_3_15.5-20,522_34_3_15.5-20_Cibicidoides havanensis,STG202307171441,Carbonates_TE_19smps_JB_RG_20230717.b,11,17/07/2023 14:41,2,2,0.41112954
610,1781,522,522_35_2_69-72.5,522_35_2_69-72.5,522_35_2_69-72.5_Cibicidoides havanensis,STG202307171632,Carbonates_TE_19smps_JB_RG_20230717.b,31,17/07/2023 16:32,20,2,1.07624665
620,1782,522,522_34_3_33-38,522_34_3_33-38,522_34_3_33-38_Cibicidoides havanensis,STG202307171458,Carbonates_TE_19smps_JB_RG_20230717.b,14,17/07/2023 14:58,4,1,0.178880296
630,1783,522,522_36_1_77-80,522_36_1_77-80,522_36_1_77-80_Cibicidoides grimsdalei,STG202307171531,Carbonates_TE_19smps_JB_RG_20230717.b,20,17/07/2023 15:31,7,5,252.4224947
640,1784,522,522_36_2_122-126,522_36_2_122-126,522_36_2_122-126_Cibicidoides grimsdalei,STG202307171553,Carbonates_TE_19smps_JB_RG_20230717.b,24,17/07/2023 15:53,11,1,0.221748055
650,1785,522,522_35_2_15.5-19.5,522_35_2_15.5-19.5,522_35_2_15.5-19.5_Cibicidoides grimsdalei,STG202307171559,Carbonates_TE_19smps_JB_RG_20230717.b,25,17/07/2023 15:59,12,2,0.843478707
660,1786,522,522_34_2_67-72,522_34_2_67-72,522_34_2_67-72_Cibicidoides grimsdalei,STG202112151846,Carbonates_TE_20smps_JB_20211215_2.b,31,15/12/2021 18:46,10,2,0.431599547
670,1787,522,522_34_2_82-87,522_34_2_82-87,522_34_2_82-87_Cibicidoides grimsdalei,STG202307171632,Carbonates_TE_19smps_JB_RG_20230717.b,31,17/07/2023 16:32,20,1,0.310634242
680,1788,522,522_35_1_135-139,522_35_1_135-139,522_35_1_135-139_Cibicidoides grimsdalei,STG202307171441,Carbonates_TE_19smps_JB_RG_20230717.b,11,17/07/2023 14:41,2,3,0.608643641
690,1789,522,522_35_2_69-72.5,522_35_2_69-72.5,522_35_2_69-72.5_Cibicidoides praemundulus,STG202307171537,Carbonates_TE_19smps_JB_RG_20230717.b,21,17/07/2023 15:37,9,1,0.211021373
700,1790,522,522_34_3_33-38,522_34_3_33-38,522_34_3_33-38_Cibicidoides praemundulus,STG202112151712,Carbonates_TE_20smps_JB_20211215_2.b,14,15/12/2021 17:12,11,2,0.379819332
710,1791,522,522_37_2_10-15,522_37_2_10-15,522_37_2_10-15_Cibicidoides praemundulus,STG202112151656,Carbonates_TE_20smps_JB_20211215_2.b,11,15/12/2021 16:56,7,2,0.193345161
720,1792,522,522_35_1_135-139,522_35_1_135-139,522_35_1_135-139_Cibicidoides praemundulus,STG202112151612,Carbonates_TE_20smps_JB_20211215_2.b,3,15/12/2021 16:12,1,2,0.193442886
730,1793,522,522_37_3_24-29,522_37_3_24-29,522_37_3_24-29_Cibicidoides laurisae,STG202307171531,Carbonates_TE_19smps_JB_RG_20230717.b,20,17/07/2023 15:31,7,5,36.74536977
740,1794,522,522_35_2_15.5-19.5,522_35_2_15.5-19.5,522_35_2_15.5-19.5_Oridorsalis umbonatus,STG202307171632,Carbonates_TE_19smps_JB_RG_20230717.b,31,17/07/2023 16:32,20,3,13.96358342
750,1795,522,522_34_1_111-116,522_34_1_111-116,522_34_1_111-116_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,4,4.624910775
760,1796,522,522_35_1_135-139,522_35_1_135-139,522_35_1_135-139_Oridorsalis umbonatus,STG202307171626,Carbonates_TE_19smps_JB_RG_20230717.b,30,17/07/2023 16:26,16,3,5.303488866
770,1797,522,522_34_3_33-38,522_34_3_33-38,522_34_3_33-38_Oridorsalis umbonatus,STG202308071413,Carbonates_TE_22smps_JB_RG_20230807_2.b,10,07/08/2023 14:13,36,1,0.228269213
780,1798,522,522_35_1_91-94,522_35_1_91-94,522_35_1_91-94_Oridorsalis umbonatus,STG202308071419,Carbonates_TE_22smps_JB_RG_20230807_2.b,11,07/08/2023 14:19,38,2,1.046271805
