Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
DSDP607,19.5,0.472,1.03,1.41,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,19.6,0.475,1.23,1.69,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,19.8,0.481,1.23,1.69,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
ODP1088,4.84,0.487,,,Cibicidoides wuellerstorfi,2083,BillupsScheiderich10
DSDP607,19.9,0.488,1.21,1.66,Cibicidoides wuellerstorfi,3422,SosdianRosenthal09
ODP0757,3.23,0.491,2.28,2.56,Cibicidoides wuellerstorfi/Cibicidoides mundulus,1644,BillupsSchrag03
DSDP607,20.1,0.497,1.24,1.7,Cibicidoides wuellerstorfi,3422,SosdianRosenthal09
ODP0926,17.94,0.506,1.36,1.55,Oridorsalis umbonatus,3605,LearRosenthalWright03
ODP0926,17.94,0.506,1.27,1.78,Cibicidoides wuellerstorfi,3605,LearRosenthalWright03
DSDP607,20.2,0.507,1.28,1.76,Cibicidoides wuellerstorfi,3422,SosdianRosenthal09
ODP0926,18.69,0.526,1.04,1.46,Cibicidoides wuellerstorfi,3606,LearRosenthalWright03
ODP0926,18.69,0.526,1.28,1.46,Oridorsalis umbonatus,3606,LearRosenthalWright03
DSDP607,20.5,0.527,1.39,1.91,Cibicidoides wuellerstorfi,3421,SosdianRosenthal09
ODP1088,5.5,0.528,,,Cibicidoides wuellerstorfi,2084,BillupsScheiderich10
ODP1088,5.59,0.534,2.3,2.98,Cibicidoides wuellerstorfi,2084,BillupsScheiderich10
DSDP607,20.7,0.536,1.23,1.69,Cibicidoides wuellerstorfi,3421,SosdianRosenthal09
DSDP607,21,0.549,1.31,1.8,Cibicidoides wuellerstorfi,3421,SosdianRosenthal09
ODP1088,5.84,0.55,,,Cibicidoides wuellerstorfi,2084,BillupsScheiderich10
DSDP607,21.3,0.561,1.25,1.72,Cibicidoides wuellerstorfi,3421,SosdianRosenthal09
DSDP607,21.4,0.571,1.24,1.7,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,21.6,0.578,1.31,1.8,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,21.7,0.584,1.45,2,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
ODP0926,20.94,0.585,1.03,1.45,Cibicidoides wuellerstorfi,3606,LearRosenthalWright03
ODP0926,20.94,0.585,1.23,1.41,Oridorsalis umbonatus,3606,LearRosenthalWright03
DSDP607,21.8,0.589,1.49,2.05,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,21.9,0.59,1.55,2.14,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
ODP1088,6.59,0.596,,,Cibicidoides wuellerstorfi,2084,BillupsScheiderich10
DSDP607,22.1,0.598,1.57,2.17,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,22.2,0.599,1.47,2.03,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,22.3,0.602,1.26,1.73,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,22.3,0.602,1.53,2.11,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,22.4,0.604,1.64,2.26,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,22.4,0.604,1.36,1.87,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,22.6,0.606,1.36,1.87,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,22.7,0.608,1.46,2.01,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,23,0.61,1.77,2.45,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,23.2,0.612,1.55,2.14,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,23.4,0.613,1.43,1.97,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,23.5,0.614,1.52,2.1,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,23.6,0.615,1.52,2.1,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,23.8,0.616,1.3,1.79,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,24.1,0.619,1.84,2.54,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,24.2,0.62,1.63,2.25,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
ODP0806,14.4,0.622,1.16,1.45,Cibicidoides wuellerstorfi,2530,LearRosenthalWright03
ODP0806,14.4,0.622,1.49,1.54,Oridorsalis umbonatus,2530,LearRosenthalWright03
DSDP607,24.7,0.625,1.66,2.29,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,24.8,0.627,1.32,1.82,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,25.1,0.631,1.22,1.68,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,25.3,0.633,1.3,1.79,Cibicidoides wuellerstorfi,3421,SosdianRosenthal09
DSDP607,25.6,0.638,1.12,1.54,Cibicidoides wuellerstorfi,3421,SosdianRosenthal09
ODP1088,7.34,0.643,,,Cibicidoides wuellerstorfi,2084,BillupsScheiderich10
DSDP607,25.9,0.644,1.15,1.58,Cibicidoides wuellerstorfi,3421,SosdianRosenthal09
ODP0926,23.19,0.645,1.47,1.65,Oridorsalis umbonatus,3607,LearRosenthalWright03
ODP0926,23.19,0.645,1.14,1.61,Cibicidoides wuellerstorfi,3607,LearRosenthalWright03
DSDP607,26.1,0.646,1.11,1.52,Cibicidoides wuellerstorfi,3421,SosdianRosenthal09
DSDP607,26.2,0.649,1.25,1.72,Cibicidoides wuellerstorfi,3421,SosdianRosenthal09
ODP0747,,0.656,1.68,2.07,Cibicidoides wuellerstorfi,1696,BillupsSchrag02
DSDP607,26.6,0.658,1.18,1.62,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,26.8,0.661,1.09,1.49,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,27.1,0.67,1.16,1.59,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,27.2,0.674,1.18,1.62,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,27.5,0.682,1.27,1.75,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,27.7,0.685,1.27,1.75,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,27.8,0.688,1.33,1.83,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
ODP1088,8.09,0.689,2.03,2.6,Cibicidoides wuellerstorfi,2085,BillupsScheiderich10
DSDP607,28,0.691,1.53,2.11,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,28.1,0.694,1.56,2.15,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,28.3,0.698,1.69,2.33,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,28.6,0.704,1.43,1.97,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,28.7,0.707,1.71,2.36,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,28.9,0.711,1.16,1.59,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,29,0.715,1.17,1.61,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,29.2,0.719,1.2,1.65,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,29.5,0.725,1.27,1.75,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,29.6,0.728,1.44,1.98,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,29.8,0.731,1.5,2.07,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,29.9,0.734,1.5,2.07,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
ODP1088,8.84,0.736,,,Cibicidoides wuellerstorfi,2085,BillupsScheiderich10
ODP0926,26.68,0.737,0.92,1.29,Cibicidoides wuellerstorfi,3609,LearRosenthalWright03
ODP0926,26.68,0.737,1.23,1.41,Oridorsalis umbonatus,3609,LearRosenthalWright03
DSDP607,30.1,0.738,1.39,1.91,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,30.2,0.741,1.44,1.98,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
ODP0806,17.15,0.741,1.24,1.56,Cibicidoides wuellerstorfi,2531,LearRosenthalWright03
ODP0806,17.15,0.741,1.34,1.39,Oridorsalis umbonatus,2531,LearRosenthalWright03
DSDP607,30.6,0.747,1.09,1.49,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
ODP0747,,0.752,1.02,1.15,Cibicidoides wuellerstorfi,1697,BillupsSchrag02
DSDP607,30.8,0.753,1.17,1.61,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,31,0.757,1.22,1.68,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
DSDP607,31.1,0.762,1.19,1.63,Cibicidoides wuellerstorfi,3420,SosdianRosenthal09
