,core,sample_mix_id,sample_mix,sample_id,d13C,d18O,midpoint_depth_mbsf,midpoint_depth_mcd,depth_mcd,age_Ma,mix_age,species,source,TE_stnd,B11,B/Ca (error 1sd),Mg24,Mg/Ca (error 1sd),Al27,d11B,d11B_2SE,Li7,Na23,Mg25,Mn55,Sr88,Cd111,Ba138,Nd146,U238,weight_ug,num_of_specimens,B/Ca corrected,palaeo_depth_m,B11 corrected to C. mundulus,Depth-corrected B11,B11 corrected to STGFRM calibration standard,Notes,Mo92,K39,Fe56,Ni58,Cu63,Zn64,Rb85,P31,S32,Co59,Mg26,Depth-corrected B/Ca,rel_age_to_ETM2_kyr,lat,lon,ocean_basin,species_simple,B_omega_calibration,omega_linfit,omega_logfit,omega_linfit_0,omega_logfit_0,omega_linfit_3000,omega_logfit_3000,Ca_sw,Mg_sw,B11_for_omega,temp_c,pressure_bar,ksp_c,CO3,s_id_species
1673,1262,MS_6,False,1262_C_13_H_6_24_61_201.24_201.6,,,,222.465,222.285-222.645,66.3172925,,Nuttallides truempyi,M. Staitis,STGTE,89.98447858825365,2.937159786,1.5935446003863285,0.036861818,38.4606209762364,,,7.91537904482861,2.80331886775123,1.4085606864655005,48.39591998756673,0.915972191223322,0.188897878511795,1.9025847664571216,1.5261465210027296,15.637351460416802,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.807659758,0.809186882,1.630977518,1.634061371,0.889713208,0.891395478,24.75538947,46.15448033,92.97921423,10.97922938,351.3330429,8.93e-07,29.19435411,MS_6_Nuttallides truempyi
1674,1262,MS_7,False,1262_C_13_H_5_144_H_6_19_200.94_201.18,,,,222.105,221.985-222.225,66.30421559,,Nuttallides truempyi,M. Staitis,STGTE,84.8817601349617,2.888798009,1.4086529607024836,0.017172069,68.77581583406482,,,8.179122664211965,2.623236347454046,1.2349511119324723,47.19530443902764,0.9482669096136032,0.2261989786405048,2.249536667927252,1.5054320294803292,15.866350766204192,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.778877985,0.78547895,1.572855983,1.586185885,0.858007377,0.865278961,24.7514983,46.15109222,87.36555512,10.97922938,351.3330429,8.93e-07,28.34141874,MS_7_Nuttallides truempyi
1675,1262,MS_8,False,1262_C_13_H_5_96_139_200.46_200.88,,,,221.715,221.505-221.925,66.29004908,,Nuttallides truempyi,M. Staitis,STGTE,84.94106325600042,2.676749215,1.3647787585758686,0.025670792,34.772840178572835,,,9.000428513237443,2.6285241616047013,1.1773636520075272,44.18492301128738,0.9439742437568346,0.1934227495991035,2.010835575736341,1.3436154996349583,15.464228349520514,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.780792558,0.787034216,1.576722247,1.589326568,0.860116459,0.866992232,24.74623927,46.14948082,87.7389776,10.97922938,351.3330429,8.93e-07,28.4015373,MS_8_Nuttallides truempyi
1676,1262,MS_10,False,1262_C_13_H_4_90_H_5_34_198.90_199.83,,,,220.4075,219.94-220.875,66.23913791,,Nuttallides truempyi,M. Staitis,STGTE,37.10858759664379,2.363105509,2.540248405319385,0.045296448,62.182541201657344,,,11.174371903841784,2.850349171642361,2.4451075928611106,48.35531639040748,1.261000087134993,0.2077893511494937,2.3572602734378103,2.1774581161882174,20.21336143572629,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.528000695,0.606131389,1.066237676,1.224013775,0.58164244,0.66771075,24.72575062,46.14682459,38.4339077,10.97922938,351.3330429,8.93e-07,21.88604301,MS_10_Nuttallides truempyi
1677,1262,MS_12,False,1262_C_13_H_4_18_43_198.18_198.42,,,,219.34,219.22-219.46,66.19133161,,Nuttallides truempyi,M. Staitis,STGTE,85.07622464665259,3.046184618,1.227163932571799,0.01889183,17.668904077921887,,,9.264704521437505,2.628957550175543,1.0515315404308625,38.5131255510213,0.9247430373703062,0.1676127709035026,1.571522963574728,1.142748403441059,16.13915965821416,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.783601719,0.789321757,1.582395029,1.593946,0.863211014,0.869512175,24.70903685,46.14375402,88.2868824,10.97922938,351.3330429,8.93e-07,28.51393189,MS_12_Nuttallides truempyi
1678,1262,MS_13,False,1262_C_13_H_3_120_H_4_16_197.7_198.15,,,,218.965,218.74-219.19,66.17420201,,Nuttallides truempyi,M. Staitis,STGTE,76.33196383778251,1.610228095,1.423377919723542,0.019467499,17.06756295849103,,,8.825365755493008,2.663428174970956,1.2597299930590549,42.05564427675965,0.9360314933831392,0.1637816458914022,1.88975823351286,1.2542536967047246,14.865496812378264,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.734266542,0.75009721,1.48276822,1.514736463,0.808863675,0.826302645,24.70713356,46.14172143,78.66444304,10.97922938,351.3330429,8.93e-07,27.09800496,MS_13_Nuttallides truempyi
1679,1262,MS_14,False,1262_C_13_H_3_105_118_197.55_197.67,,,,218.65,218.59-218.71,66.15981331,,Nuttallides truempyi,M. Staitis,STGTE,92.33776865141874,3.232231503,1.21804590289813,0.027495256,45.78395637815914,,,7.259371860173796,2.7036630916393287,1.0096272312727523,49.012323420352985,0.9301826771494212,0.2533892923797061,2.152987377130104,1.1497788960754804,13.777600655144544,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.823813833,0.822805358,1.663598845,1.661562344,0.907508441,0.906397511,24.70553481,46.14001408,96.12993982,10.97922938,351.3330429,8.93e-07,29.72562107,MS_14_Nuttallides truempyi
1680,1262,MS_15,False,1262_C_13_H_3_60_103_197.1_197.52,,,,218.35,218.14-218.56,66.14420517,,Nuttallides truempyi,M. Staitis,STGTE,69.92885872867888,3.056937198,1.804098611619296,0.030140907,25.56943124438904,,,9.451630251074292,2.869515232205359,1.6270016242561078,38.2111595110653,1.089277827157782,0.3269864770551767,2.086971005314742,1.4722179052446385,15.664487163384344,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.701513348,0.725139069,1.416626849,1.464336321,0.77278295,0.798808905,24.70380057,46.13816203,72.27618949,10.97922938,351.3330429,8.93e-07,26.19813537,MS_15_Nuttallides truempyi
1681,1262,MS_16,False,1262_C_13_H_3_54_61_197.04_197.1,,,,218.11,218.08-218.14,66.13038583,,Nuttallides truempyi,M. Staitis,STGTE,90.64078869735404,3.669808748,1.2258181018496404,0.023297922,18.63402160122215,,,8.205048710001208,2.778800448639597,1.0439017938688957,38.71063112775359,0.9694118520545936,0.204592461003027,1.8410750229803703,0.9910237174779908,12.951096400077082,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.810056099,0.811192755,1.635816657,1.638112006,0.892353003,0.893605136,24.70226509,46.13652223,93.44660169,10.97922938,351.3330429,8.92e-07,29.30803119,MS_16_Nuttallides truempyi
1682,1262,MS_17,False,1262_C_13_H_3_30_37_196.8_196.86,,,,217.87,217.84-217.9,66.11180616,,Nuttallides truempyi,M. Staitis,STGTE,84.4253316810762,3.156036108,1.3217080648087305,0.024386523,31.75613441328727,,,7.829931296574052,2.625952894762273,1.1289648399468806,39.29242840778425,0.9850526842764328,0.167494289586379,1.565969443138885,1.3717940444335133,14.772859710639455,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.776811115,0.783803419,1.568682173,1.58280234,0.855730525,0.863433206,24.70020068,46.13431758,86.96242838,10.97922938,351.3330429,8.92e-07,28.31965079,MS_17_Nuttallides truempyi
1683,1262,MS_18,False,1262_C_13_H_3_12_31_196.62_196.8,,,,217.75,217.66-217.84,66.10251596,,Nuttallides truempyi,M. Staitis,STGTE,82.67418021158812,3.940735315,1.3306775730377436,0.020837984,19.248931766963764,,,7.51558169089562,2.500166438333741,1.12185856817352,41.08833754638043,0.9485235625632442,0.1583723989209088,1.5523460282285664,1.2561831474203855,15.591857876203203,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.770793451,0.778945456,1.55653018,1.572992233,0.849101502,0.858081703,24.69916844,46.13321521,85.78873011,10.97922938,351.3330429,8.92e-07,28.14471588,MS_18_Nuttallides truempyi
